"name","size","phrase","first_occur","song"
"may",2,0,92,"Shape of you"
"me",13,0,49,"Havana"
"me",7,0,3,"Hello"
"me",10,0,18,"Shape of you"
"meet",2,0,15,"Hello"
"met",2,0,60,"Havana"
"miles",2,0,76,"Hello"
"million",1,0,172,"Havana"
"million",2,0,75,"Hello"
"mind",2,0,96,"Shape of you"
"minute",2,0,38,"Havana"
"mm",1,0,96,"Havana"
"much",2,0,32,"Hello"
"much",2,0,104,"Shape of you"
"mula",1,0,178,"Havana"
"my",10,0,20,"Shape of you"
"my heart is in havana",13,1,3,"Havana"
"myself",2,0,110,"Hello"
"night",3,0,130,"Shape of you"
"no",1,0,102,"Havana"
"no",2,0,132,"Hello"
"not",2,0,101,"Shape of you"
"nothing",2,0,128,"Hello"
"now",5,0,52,"Shape of you"
"of",2,0,26,"Havana"
"of",8,0,105,"Hello"
"oh na-na-na",6,1,83,"Havana"
"oh—i—oh—i—oh—i—oh—i",6,1,145,"Shape of you"
"okay",1,0,207,"Shape of you"
"on",9,0,94,"Havana"
"on",6,0,61,"Shape of you"
"one",1,0,153,"Shape of you"
"ooh",18,0,52,"Havana"
"ooh.na-na",15,1,2,"Havana"
"ooooohh",6,0,165,"Hello"
"our",2,0,65,"Hello"
"our",1,0,165,"Shape of you"
"out",2,0,98,"Havana"
"out",4,0,123,"Hello"
"out",1,0,163,"Shape of you"
"outside",6,0,84,"Hello"
"over",2,0,18,"Hello"
"over",1,0,35,"Shape of you"
"papa",2,0,40,"Havana"
"pay",1,0,122,"Havana"
"place",1,0,6,"Shape of you"
"plate",1,0,188,"Shape of you"
"play",1,0,225,"Shape of you"
"point",1,0,162,"Havana"
"pull",3,0,121,"Shape of you"
"push",3,0,119,"Shape of you"
"put",3,0,57,"Shape of you"
"quick",1,0,120,"Havana"
"radio",1,0,224,"Shape of you"
"range",1,0,165,"Havana"
"room",3,0,135,"Shape of you"
"running",2,0,140,"Hello"
"said",2,0,22,"Havana"
"sam",1,0,127,"Havana"
"say",2,0,21,"Hello"
"say",2,0,98,"Shape of you"
"says",2,0,41,"Havana"
"secret",2,0,133,"Hello"
"shawty",2,0,132,"Havana"
"she",1,0,141,"Havana"
"shots",1,0,26,"Shape of you"
"singing",2,0,73,"Shape of you"
"slow",1,0,33,"Shape of you"
"smell",3,0,140,"Shape of you"
"so",2,0,103,"Hello"
